Complete_name,Kernel color,S6_82170011,S6_82170814,S6_82170859,S6_82170897,S6_82170900,S6_82170957,S6_82171038,S6_82174349,S6_82174376,S6_82174378,S6_82176123,S6_82185767,S6_82185973,S6_82186654,S6_82186661,S6_82217770,S6_82217918,S6_82218018,S6_82218044,S6_82218219,S6_82243856,S6_82243861,S6_82243874,S6_82243883
PI619431:81FE8ABXX:2:G7,0,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PI641065:81N4HABXX:4:C5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PI257511:81FE8ABXX:3:C12,0,0.555,1,0,0,0,1,0,0.555,0.555,0.555,1,0.555,0.555,1,1,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555
PI406106:81FE7ABXX:4:H10,0,0.598,1,0.598,0.598,0.598,0.598,0,0,1,0.598,1,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598
PI542957:81FE7ABXX:6:G4,0,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,1,0,0.665,0.665,0.665,0.665,1,0.665,0.665,0.665,0.665,0.665,0.665,0.665
PI601563:81N4HABXX:6:B3,0,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0.665,0,0,0.665,0.665,1,0.665,1,1,1,0.665,0.665,0.665,0.665
PI550917:81N4HABXX:4:D11,0,0.752,0.752,0.752,0,1,0.752,1,1,1,0.752,1,0,0,1,1,0.752,1,0.752,0.752,1,0.752,0.752,0.752,0.752
Ames23417:81FE8ABXX:5:A7,0,0.78,1,1,0,1,0.78,0.78,1,1,1,1,0.78,0.78,0.78,0.78,0,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
Ames22027:81FE7ABXX:1:B7,0,0.799,0.799,1,0,1,0.799,0.799,0.799,0.799,0.799,1,1,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799
Ames23418:81FE8ABXX:6:A1,0,0.799,0.799,1,0,1,0.799,0.799,0.799,0.799,0.799,1,0.799,0.799,0.799,0.799,0.799,1,0.799,0.799,0.799,0.799,0.799,0.799,0.799
Ames28943:81FENABXX:4:A7,0,0.799,1,0.799,0,1,1,1,1,1,1,0.799,0,0,1,1,0.799,1,1,1,0.799,0.799,0.799,0.799,0.799
PI267164:81FE8ABXX:4:G3,0,0.799,1,0.799,0,1,0.799,1,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,1,0.799,0.799,0.799,0.799,0.799,0.799,0.799
PI257506:81FE8ABXX:4:D1,1,0.799,0.799,0.799,0,1,0.799,1,0.799,0.799,0.799,0.799,0.799,0.799,1,1,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799
